"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0736";"De Ronde Venen";"1078";"Amsterdam";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1102";"Amsterdam";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1104";"Amsterdam";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1106";"Amsterdam";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1107";"Amsterdam";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1112";"Diemen";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1115";"Ouder-Amstel";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1391";"De Ronde Venen";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"16";"13";"17";"23";"21";"14";"18";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1396";"De Ronde Venen";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"3645";"De Ronde Venen";"03SY";"00";"KBs Pius";"1391XL";"ABCOUDE";"Utrecht";"Bo";"Rooms-Katholiek";"70002";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1077";"Amsterdam";"05MC";"00";"Chr NAT BS Abcoude";"1391VC";"ABCOUDE";"Utrecht";"Bo";"Protestants-Christelijk";"41138";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1083";"Amsterdam";"05MC";"00";"Chr NAT BS Abcoude";"1391VC";"ABCOUDE";"Utrecht";"Bo";"Protestants-Christelijk";"41138";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0736";"De Ronde Venen";"1106";"Amsterdam";"05MC";"00";"Chr NAT BS Abcoude";"1391VC";"ABCOUDE";"Utrecht";"Bo";"Protestants-Christelijk";"41138";"0";"0";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
