"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1676";"Schouwen-Duiveland";"4301";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"12";"22";"23";"17";"11";"14";"12";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4302";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4303";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"<5";"<5";"<5";"<5";"0";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4305";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4306";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4307";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4315";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4316";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4317";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4321";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4322";"Schouwen-Duiveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4493";"Noord-Beveland";"03KA";"00";"RK BS St. Willibrordus";"4301KB";"ZIERIKZEE";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4301";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4303";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4305";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4306";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4317";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4318";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4321";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"6";"15";"<5";"8";"5";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4327";"Schouwen-Duiveland";"05QD";"00";"De Morgenster";"4321AM";"KERKWERVE";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4301";"Schouwen-Duiveland";"06EA";"00";"DS J Bogermansch";"4307BR";"OOSTERLAND";"Zeeland";"Bo";"Reformatorisch";"23545";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1676";"Schouwen-Duiveland";"4306";"Schouwen-Duiveland";"06EA";"00";"DS J Bogermansch";"4307BR";"OOSTERLAND";"Zeeland";"Bo";"Reformatorisch";"23545";"0";"<5";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
