"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0502";"Capelle aan den IJssel";"2396";"Alphen aan den Rijn";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2665";"Lansingerland";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2741";"Waddinxveen";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2742";"Waddinxveen";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2806";"Gouda";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2841";"Zuidplas";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2903";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2904";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2905";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2906";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2907";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2908";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2909";"Capelle aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2912";"Zuidplas";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2914";"Zuidplas";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2922";"Krimpen aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2923";"Krimpen aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2924";"Krimpen aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0502";"Capelle aan den IJssel";"2925";"Krimpen aan den IJssel";"00EH";"00";"Speciaal Basisond. De Cirkel";"2907TK";"CAPELLE AAN DEN IJSSEL";"Zuid-Holland";"Sbo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
