"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0047";"Veendam";"40";"Onbekend";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9512";"Aa en Hunze";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9605";"Midden-Groningen";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9631";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9641";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9642";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"25";"18";"30";"21";"33";"30";"24";"15";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9644";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9645";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"<5";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9646";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9648";"Veendam";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"<5";"<5";"<5";"<5";"<5";"<5";"6";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9649";"Midden-Groningen";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9665";"Pekela";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9675";"Oldambt";"13GU";"00";"OBS de Viermaster";"9642KX";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9605";"Midden-Groningen";"13QO";"00";"Obs de Braskorf";"9646DC";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0047";"Veendam";"9631";"Veendam";"13QO";"00";"Obs de Braskorf";"9646DC";"VEENDAM";"Groningen";"Bo";"Openbaar";"41780";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
