"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0034";"Almere";"1111";"Diemen";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1218";"Hilversum";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1272";"Huizen";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1311";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1312";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"5";"<5";"<5";"<5";"5";"7";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1313";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1314";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1315";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1316";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1317";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1318";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1319";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"7";"<5";"5";"<5";"8";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1321";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"6";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1323";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1324";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"7";"7";"7";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1325";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1326";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1328";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1333";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1335";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1336";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1338";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1339";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1341";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1349";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"<5";"<5";"<5";"0";"5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1351";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1352";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1353";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1354";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1355";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1356";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1357";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1358";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1359";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1361";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1362";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1363";"Almere";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1405";"Gooise Meren";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1621";"Hoorn";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"2251";"Voorschoten";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"8226";"Lelystad";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"8251";"Dronten";"06RM";"00";"Vrije School Almere";"1312JZ";"ALMERE";"Flevoland";"Bo";"Antroposofisch";"62584";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1024";"Amsterdam";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1083";"Amsterdam";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1313";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1315";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1323";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1324";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1335";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1339";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1343";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1349";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1351";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1352";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1353";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"9";"7";"7";"5";"7";"9";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1354";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"11";"<5";"7";"5";"<5";"8";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1355";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1356";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1357";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1359";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1361";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1362";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1363";"Almere";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"3812";"Amersfoort";"12PM";"00";"Basisschool De Ark";"1354EV";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1313";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1314";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1315";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1316";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"11";"9";"12";"8";"7";"10";"9";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1317";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"12";"11";"16";"17";"12";"14";"14";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1319";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1321";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1326";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1328";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1333";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1335";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1336";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1338";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1341";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1343";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1355";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1363";"Almere";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1462";"Purmerend";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"8256";"Dronten";"12QK";"00";"RK Basissch Panta Rhei";"1316KX";"ALMERE";"Flevoland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1104";"Amsterdam";"12XA";"00";"Basissch de Driemaster";"1324DS";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1312";"Almere";"12XA";"00";"Basissch de Driemaster";"1324DS";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0034";"Almere";"1314";"Almere";"12XA";"00";"Basissch de Driemaster";"1324DS";"ALMERE";"Flevoland";"Bo";"Protestants-Christelijk";"40114";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
