"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0059";"Achtkarspelen";"5126";"Gilze en Rijen";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9207";"Smallingerland";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9231";"Achtkarspelen";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9251";"Tytsjerksteradiel";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9258";"Tytsjerksteradiel";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9261";"Tytsjerksteradiel";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9271";"Dantumadiel";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9285";"Achtkarspelen";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9286";"Achtkarspelen";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9288";"Achtkarspelen";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"6";"<5";"<5";"<5";"<5";"<5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9289";"Achtkarspelen";"03HS";"00";"Basisschool Oranje Nassau";"9288BA";"KOOTSTERTILLE";"Friesland";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9288";"Achtkarspelen";"04JU";"00";"De Tarissing";"9289JB";"DROGEHAM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9289";"Achtkarspelen";"04JU";"00";"De Tarissing";"9289JB";"DROGEHAM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"14";"14";"12";"19";"16";"12";"13";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9298";"Noardeast-Fryslân";"04JU";"00";"De Tarissing";"9289JB";"DROGEHAM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9285";"Achtkarspelen";"04JW";"00";"CBS de Oanrin";"9286EM";"TWIJZEL";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9286";"Achtkarspelen";"04JW";"00";"CBS de Oanrin";"9286EM";"TWIJZEL";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"9";"<5";"<5";"12";"9";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9287";"Achtkarspelen";"04JW";"00";"CBS de Oanrin";"9286EM";"TWIJZEL";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9288";"Achtkarspelen";"04JW";"00";"CBS de Oanrin";"9286EM";"TWIJZEL";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9298";"Noardeast-Fryslân";"04JW";"00";"CBS de Oanrin";"9286EM";"TWIJZEL";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9261";"Tytsjerksteradiel";"05QE";"00";"Chr Basissch Merlettes";"9288AM";"KOOTSTERTILLE";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9288";"Achtkarspelen";"05QE";"00";"Chr Basissch Merlettes";"9288AM";"KOOTSTERTILLE";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"8";"5";"12";"7";"13";"13";"11";"11";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9231";"Achtkarspelen";"07MY";"00";"KBS De Balkespringer";"9283TJ";"SURHUIZUM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9281";"Achtkarspelen";"07MY";"00";"KBS De Balkespringer";"9283TJ";"SURHUIZUM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9283";"Achtkarspelen";"07MY";"00";"KBS De Balkespringer";"9283TJ";"SURHUIZUM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"11";"8";"7";"8";"8";"5";"7";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9284";"Achtkarspelen";"07MY";"00";"KBS De Balkespringer";"9283TJ";"SURHUIZUM";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"8471";"Weststellingwerf";"07XB";"00";"De Twa-ikker";"9284TJ";"AUGUSTINUSGA";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9283";"Achtkarspelen";"07XB";"00";"De Twa-ikker";"9284TJ";"AUGUSTINUSGA";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9284";"Achtkarspelen";"07XB";"00";"De Twa-ikker";"9284TJ";"AUGUSTINUSGA";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"13";"16";"11";"10";"10";"6";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9285";"Achtkarspelen";"07XB";"00";"De Twa-ikker";"9284TJ";"AUGUSTINUSGA";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9866";"Westerkwartier";"07XB";"00";"De Twa-ikker";"9284TJ";"AUGUSTINUSGA";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9283";"Achtkarspelen";"07YK";"00";"Basisschool De Claercamp";"9873TK";"GERKESKLOOSTER";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9865";"Westerkwartier";"07YK";"00";"Basisschool De Claercamp";"9873TK";"GERKESKLOOSTER";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9866";"Westerkwartier";"07YK";"00";"Basisschool De Claercamp";"9873TK";"GERKESKLOOSTER";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9871";"Achtkarspelen";"07YK";"00";"Basisschool De Claercamp";"9873TK";"GERKESKLOOSTER";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9872";"Achtkarspelen";"07YK";"00";"Basisschool De Claercamp";"9873TK";"GERKESKLOOSTER";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9873";"Achtkarspelen";"07YK";"00";"Basisschool De Claercamp";"9873TK";"GERKESKLOOSTER";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"6";"<5";"<5";"7";"8";"<5";"7";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9269";"Dantumadiel";"08PH";"00";"Basisschool De Reinboge";"9287LV";"TWIJZELERHEIDE";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0059";"Achtkarspelen";"9271";"Dantumadiel";"08PH";"00";"Basisschool De Reinboge";"9287LV";"TWIJZELERHEIDE";"Friesland";"Bo";"Protestants-Christelijk";"42852";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
