"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0310";"De Bilt";"1211";"Hilversum";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1214";"Hilversum";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1215";"Hilversum";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1221";"Hilversum";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1221";"Hilversum";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1223";"Hilversum";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1244";"Wijdemeren";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"1276";"Huizen";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3401";"IJsselstein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3402";"IJsselstein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3404";"IJsselstein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3405";"Lopik";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3421";"Oudewater";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3431";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3432";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3434";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3434";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3435";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3436";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3437";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3437";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3438";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3438";"Nieuwegein";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3442";"Woerden";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3446";"Woerden";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3448";"Woerden";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3451";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3451";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3452";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3452";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3453";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3453";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3454";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3454";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3481";"Woerden";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3481";"Woerden";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3511";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3514";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3521";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3522";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3522";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3523";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3524";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3524";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3526";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3527";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3531";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3532";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3533";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3533";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3534";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3534";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3541";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3543";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3543";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3544";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3544";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3545";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3552";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3553";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3554";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3555";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3562";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3562";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3563";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3572";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3573";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3581";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3581";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3582";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3582";"Utrecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3601";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3602";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3603";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3605";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3607";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3607";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3608";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3608";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3611";"Stichtse Vecht";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"Vso";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0310";"De Bilt";"3615";"De Bilt";"02RF";"00";"Berg en Bosch Onderwijs";"3723MB";"BILTHOVEN";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
