"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0503";"Delft";"2273";"Leidschendam-Voorburg";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2281";"Rijswijk";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2282";"Rijswijk";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2284";"Rijswijk";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2286";"Rijswijk";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2286";"Rijswijk";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2288";"Rijswijk";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2291";"Westland";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2492";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2493";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2496";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2497";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2497";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2513";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2521";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2525";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2532";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2533";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2548";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2565";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2571";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2573";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2587";"'s-Gravenhage";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2611";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2612";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2613";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2614";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2623";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2623";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2624";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2624";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2625";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2625";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2628";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2628";"Delft";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2631";"Pijnacker-Nootdorp";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2635";"Midden-Delfland";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2635";"Midden-Delfland";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2636";"Midden-Delfland";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2641";"Pijnacker-Nootdorp";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2642";"Pijnacker-Nootdorp";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2643";"Pijnacker-Nootdorp";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2645";"Pijnacker-Nootdorp";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2652";"Lansingerland";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2652";"Lansingerland";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2724";"Zoetermeer";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2922";"Krimpen aan den IJssel";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"3117";"Schiedam";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"3122";"Schiedam";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"3137";"Vlaardingen";"00PZ";"00";"Herman Broerenschool";"2612SP";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2282";"Rijswijk";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2283";"Rijswijk";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2285";"Rijswijk";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2286";"Rijswijk";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2287";"Rijswijk";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2288";"Rijswijk";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2492";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2512";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2521";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2526";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2544";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2548";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2552";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2562";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2571";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2572";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2583";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2591";"'s-Gravenhage";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2612";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2613";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2614";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2622";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2623";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2624";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2625";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2628";"Delft";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2631";"Pijnacker-Nootdorp";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2635";"Midden-Delfland";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2642";"Pijnacker-Nootdorp";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2645";"Pijnacker-Nootdorp";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2716";"Zoetermeer";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2729";"Zoetermeer";"00PZ";"02";"Herman Broerenschool";"2612AD";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2264";"Leidschendam-Voorburg";"02YJ";"00";"Maurice Maeterlincksch";"2625XR";"DELFT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"41805";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0503";"Delft";"2265";"Leidschendam-Voorburg";"02YJ";"00";"Maurice Maeterlincksch";"2625XR";"DELFT";"Zuid-Holland";"So";"Algemeen bijzonder";"41805";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
