"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0770";"Eersel";"5513";"Eersel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5521";"Eersel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5521";"Eersel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5524";"Eersel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5525";"Eersel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5525";"Eersel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5527";"Bladel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5527";"Bladel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5528";"Bladel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5531";"Bladel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5531";"Bladel";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5541";"Reusel-De Mierden";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5541";"Reusel-De Mierden";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5551";"Valkenswaard";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"<5";"0";"0";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5551";"Valkenswaard";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5552";"Valkenswaard";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5553";"Valkenswaard";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5553";"Valkenswaard";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5554";"Valkenswaard";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5561";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5561";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5563";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5563";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5571";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5571";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5575";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5575";"Bergeijk";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5581";"Waalre";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5581";"Waalre";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0770";"Eersel";"5583";"Waalre";"01PJ";"00";"De Groote Aard SO-VSO";"5521TP";"EERSEL";"Noord-Brabant";"So";"Algemeen bijzonder";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
