"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1948";"Meierijstad";"5466";"Meierijstad";"03MH";"00";"bs Petrus en Paulus";"5466RS";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"26";"12";"13";"14";"11";"9";"15";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5482";"Meierijstad";"03MH";"00";"bs Petrus en Paulus";"5466RS";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"03QN";"00";"Bs. Edith Stein";"5465RJ";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5465";"Meierijstad";"03QN";"00";"Bs. Edith Stein";"5465RJ";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"13";"15";"14";"20";"20";"23";"24";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"03QN";"00";"Bs. Edith Stein";"5465RJ";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5684";"Best";"03QN";"00";"Bs. Edith Stein";"5465RJ";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5382";"'s-Hertogenbosch";"03VI";"00";"Bs Maria ter Heide";"5464VR";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5406";"Maashorst";"03VI";"00";"Bs Maria ter Heide";"5464VR";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5464";"Meierijstad";"03VI";"00";"Bs Maria ter Heide";"5464VR";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"16";"12";"16";"15";"18";"12";"16";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5467";"Meierijstad";"03VI";"00";"Bs Maria ter Heide";"5464VR";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"06HU";"00";"Basisschool Nicolaas";"5469PT";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"10";"8";"13";"7";"7";"5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5461";"Meierijstad";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"<5";"0";"<5";"<5";"6";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"20";"16";"13";"18";"18";"19";"21";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5464";"Meierijstad";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5467";"Meierijstad";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5472";"Bernheze";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5482";"Meierijstad";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5684";"Best";"06LT";"00";"Bs. de Ark";"5463NR";"VEGHEL";"Noord-Brabant";"Bo";"Algemeen bijzonder";"73712";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5421";"Gemert-Bakel";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5432";"Land van Cuijk";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5446";"Land van Cuijk";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5451";"Land van Cuijk";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5461";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"24";"20";"24";"22";"19";"18";"22";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5464";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5467";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5481";"Meierijstad";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5624";"Eindhoven";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5708";"Helmond";"06MI";"00";"Bs De Vijfmaster";"5463ET";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5403";"Maashorst";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5406";"Maashorst";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5461";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"7";"5";"5";"14";"12";"10";"11";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"5";"<5";"<5";"<5";"<5";"<5";"6";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"19";"26";"21";"17";"20";"13";"16";"17";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5464";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"12";"<5";"8";"13";"5";"8";"15";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5465";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5467";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"28";"23";"24";"33";"21";"33";"22";"25";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5482";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5492";"Meierijstad";"08IR";"00";"De Uilenbrink";"5467BM";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5402";"Maashorst";"09IS";"00";"OBS Kompas";"5463JA";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5461";"Meierijstad";"09IS";"00";"OBS Kompas";"5463JA";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"09IS";"00";"OBS Kompas";"5463JA";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"09IS";"00";"OBS Kompas";"5463JA";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"10";"7";"5";"6";"6";"16";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5467";"Meierijstad";"09IS";"00";"OBS Kompas";"5463JA";"VEGHEL";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5404";"Maashorst";"09PM";"00";"Bs Maria";"5469HH";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5461";"Meierijstad";"09PM";"00";"Bs Maria";"5469HH";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"09PM";"00";"Bs Maria";"5469HH";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"09PM";"00";"Bs Maria";"5469HH";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"<5";"5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5464";"Meierijstad";"09PM";"00";"Bs Maria";"5469HH";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"09PM";"00";"Bs Maria";"5469HH";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"39";"29";"38";"40";"27";"30";"32";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"09UH";"00";"Basisschool Kienehoef";"5491JD";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5482";"Meierijstad";"09UH";"00";"Basisschool Kienehoef";"5491JD";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5491";"Meierijstad";"09UH";"00";"Basisschool Kienehoef";"5491JD";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"24";"24";"31";"14";"32";"21";"35";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5492";"Meierijstad";"09UH";"00";"Basisschool Kienehoef";"5491JD";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5427";"Boekel";"10JO";"00";"Bs. De Empel";"5469SL";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"10JO";"00";"Bs. De Empel";"5469SL";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"10JO";"00";"Bs. De Empel";"5469SL";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5467";"Meierijstad";"10JO";"00";"Bs. De Empel";"5469SL";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"10JO";"00";"Bs. De Empel";"5469SL";"ERP";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"37";"33";"30";"26";"43";"25";"38";"31";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5282";"Boxtel";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5466";"Meierijstad";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5491";"Meierijstad";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5492";"Meierijstad";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"17";"18";"11";"18";"10";"14";"17";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5681";"Best";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5685";"Best";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5691";"Son en Breugel";"10NK";"00";"Bs. Franciscus";"5492EH";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5469";"Meierijstad";"11CS";"00";"Odaschool";"5491GC";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5491";"Meierijstad";"11CS";"00";"Odaschool";"5491GC";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"17";"33";"26";"24";"19";"17";"16";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5492";"Meierijstad";"11CS";"00";"Odaschool";"5491GC";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"6";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5691";"Son en Breugel";"11CS";"00";"Odaschool";"5491GC";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5281";"Boxtel";"12AL";"00";"Basisschool Eerschot";"5491AB";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5466";"Meierijstad";"12AL";"00";"Basisschool Eerschot";"5491AB";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5482";"Meierijstad";"12AL";"00";"Basisschool Eerschot";"5491AB";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5491";"Meierijstad";"12AL";"00";"Basisschool Eerschot";"5491AB";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"29";"20";"40";"24";"27";"30";"30";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5492";"Meierijstad";"12AL";"00";"Basisschool Eerschot";"5491AB";"SINT-OEDENRODE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5461";"Meierijstad";"12HC";"00";"Bs Bernadette";"5462CS";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"9";"8";"6";"8";"<5";"<5";"<5";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5462";"Meierijstad";"12HC";"00";"Bs Bernadette";"5462CS";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"37";"29";"22";"31";"27";"27";"25";"14";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1948";"Meierijstad";"5463";"Meierijstad";"12HC";"00";"Bs Bernadette";"5462CS";"VEGHEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"73712";"0";"8";"8";"6";"8";"9";"6";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
